org,id,login,avatar_url,type
mozilla,61586,"carljm",https://avatars.githubusercontent.com/u/61586?v=3,User
mozilla,54458,"catlee",https://avatars.githubusercontent.com/u/54458?v=3,User
mozilla,1140686,"choller",https://avatars.githubusercontent.com/u/1140686?v=3,User
mozilla,751491,"chrismore",https://avatars.githubusercontent.com/u/751491?v=3,User
mozilla,247927,"cjcliffe",https://avatars.githubusercontent.com/u/247927?v=3,User
mozilla,248526,"cjung",https://avatars.githubusercontent.com/u/248526?v=3,User
mozilla,2134,"clarkbw",https://avatars.githubusercontent.com/u/2134?v=3,User
mozilla,2277,"claus",https://avatars.githubusercontent.com/u/2277?v=3,User
mozilla,80098,"clouserw",https://avatars.githubusercontent.com/u/80098?v=3,User
mozilla,64711,"cmcavoy",https://avatars.githubusercontent.com/u/64711?v=3,User
mozilla,939357,"comzeradd",https://avatars.githubusercontent.com/u/939357?v=3,User
mozilla,62406,"corbanbrook",https://avatars.githubusercontent.com/u/62406?v=3,User
mozilla,205591,"craigcook",https://avatars.githubusercontent.com/u/205591?v=3,User
mozilla,131786,"csuwildcat",https://avatars.githubusercontent.com/u/131786?v=3,User
mozilla,112791,"ctalbert",https://avatars.githubusercontent.com/u/112791?v=3,User
mozilla,203725,"cvan",https://avatars.githubusercontent.com/u/203725?v=3,User
mozilla,526538,"cyberdees",https://avatars.githubusercontent.com/u/526538?v=3,User
mozilla,55970,"dangoor",https://avatars.githubusercontent.com/u/55970?v=3,User
mozilla,87619,"dannycoates",https://avatars.githubusercontent.com/u/87619?v=3,User
mozilla,46655,"darkwing",https://avatars.githubusercontent.com/u/46655?v=3,User
mozilla,1807987,"davecurado",https://avatars.githubusercontent.com/u/1807987?v=3,User
mozilla,59497,"davedash",https://avatars.githubusercontent.com/u/59497?v=3,User
mozilla,122800,"davehunt",https://avatars.githubusercontent.com/u/122800?v=3,User
mozilla,51278,"davidascher",https://avatars.githubusercontent.com/u/51278?v=3,User
mozilla,35955,"daytonn",https://avatars.githubusercontent.com/u/35955?v=3,User
