org,repository,id,creator,updated_date,html_url,issue_url
mozilla,webmaker-core,67902628,"xmatthewx",2014-12-22T23:07:46Z,https://github.com/mozilla/webmaker-login-ux/issues/102#issuecomment-67902628,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/102
mozilla,webmaker-core,66392062,"thisandagain",2014-12-10T01:47:12Z,https://github.com/mozilla/webmaker-login-ux/issues/89#issuecomment-66392062,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/89
mozilla,webmaker-core,61533250,"jbuck",2014-11-03T19:27:08Z,https://github.com/mozilla/webmaker-login-ux/issues/52#issuecomment-61533250,https://api.github.com/repos/mozilla/webmaker-login-ux/issues/52
mozilla,webmaker-core,162028613,"alanmoo",2015-12-04T17:28:01Z,https://github.com/mozilla/webmaker-core/issues/908#issuecomment-162028613,https://api.github.com/repos/mozilla/webmaker-core/issues/908
mozilla,webmaker-core,162000045,"xmatthewx",2015-12-04T15:44:24Z,https://github.com/mozilla/webmaker-core/issues/904#issuecomment-162000045,https://api.github.com/repos/mozilla/webmaker-core/issues/904
mozilla,webmaker-core,161996306,"alanmoo",2015-12-04T15:31:26Z,https://github.com/mozilla/webmaker-core/pull/903#issuecomment-161996306,https://api.github.com/repos/mozilla/webmaker-core/issues/903
mozilla,webmaker-core,161999710,"xmatthewx",2015-12-04T15:43:00Z,https://github.com/mozilla/webmaker-core/pull/903#issuecomment-161999710,https://api.github.com/repos/mozilla/webmaker-core/issues/903
mozilla,webmaker-core,162004170,"alanmoo",2015-12-04T15:57:34Z,https://github.com/mozilla/webmaker-core/pull/903#issuecomment-162004170,https://api.github.com/repos/mozilla/webmaker-core/issues/903
mozilla,webmaker-core,162073047,"alanmoo",2015-12-04T20:27:15Z,https://github.com/mozilla/webmaker-core/pull/903#issuecomment-162073047,https://api.github.com/repos/mozilla/webmaker-core/issues/903
mozilla,webmaker-core,161710713,"xmatthewx",2015-12-03T16:44:05Z,https://github.com/mozilla/webmaker-core/issues/902#issuecomment-161710713,https://api.github.com/repos/mozilla/webmaker-core/issues/902
mozilla,webmaker-core,161739643,"cadecairos",2015-12-03T18:28:10Z,https://github.com/mozilla/webmaker-core/issues/902#issuecomment-161739643,https://api.github.com/repos/mozilla/webmaker-core/issues/902
mozilla,webmaker-core,161743158,"xmatthewx",2015-12-03T18:43:09Z,https://github.com/mozilla/webmaker-core/issues/902#issuecomment-161743158,https://api.github.com/repos/mozilla/webmaker-core/issues/902
mozilla,webmaker-core,161744351,"cadecairos",2015-12-03T18:47:22Z,https://github.com/mozilla/webmaker-core/issues/902#issuecomment-161744351,https://api.github.com/repos/mozilla/webmaker-core/issues/902
mozilla,webmaker-core,161744493,"cadecairos",2015-12-03T18:47:56Z,https://github.com/mozilla/webmaker-core/issues/902#issuecomment-161744493,https://api.github.com/repos/mozilla/webmaker-core/issues/902
mozilla,webmaker-core,161747910,"xmatthewx",2015-12-03T19:00:38Z,https://github.com/mozilla/webmaker-core/issues/902#issuecomment-161747910,https://api.github.com/repos/mozilla/webmaker-core/issues/902
