name,stars,forks,open_issues,language
nucleus,1,10,4,Python
firehug,5,20,16,JavaScript
stillis,8,0,0,Python
devtools-reqs,5,2,0,null
rna,0,6,4,Python
eideticker-ci,1,1,0,Shell
libadb,0,0,0,null
corsica,19,11,7,JavaScript
webmaker-profile-service,1,12,1,JavaScript
mig,620,96,37,Go
fxa-deployment,0,2,16,Shell
openbadger-client,1,1,2,JavaScript
openbadges-cem,2,4,7,JavaScript
aestimia-client,1,0,2,JavaScript
webmaker-ui,1,2,0,JavaScript
Fira,2096,154,29,HTML
zippy,9,25,0,JavaScript
mozmoderator,7,8,18,CSS
libadb.js,8,8,5,C++
openbadges-badges,1,8,10,CSS
galaxy,10,14,54,JavaScript
allizom_org,1,3,1,CSS
gecko-dev,509,683,3,null
gecko-projects,20,18,0,null
badges.mozillafestival.org,1,1,2,CSS
openbadges-badgekit,91,60,63,JavaScript
dynamicua_update_script,0,1,0,null
sciencelab,5,9,3,PHP
chatspaces,32,13,9,JavaScript
nunjucks-docs,17,16,0,null
relman-tools,2,2,0,Python
badge-the-world,1,5,6,JavaScript
teach-appmaker,0,0,0,null
mciconf,2,5,0,HTML
fxa-js-client,20,16,2,JavaScript
localForage,5069,329,76,JavaScript
pretty-fast,28,9,0,JavaScript
marketplace-tests-gaia,0,11,3,Python
telemetry-aggregator,2,3,4,JavaScript
trypersona.org,2,1,1,null
build-relengdocs,1,7,1,Python
bugzfeed,5,2,1,Python
browserid-local-verify,3,5,0,JavaScript
infra-x-design,1,1,0,null
apk-factory-service,35,15,7,JavaScript
oneanddone-tests,4,15,2,Python
mozilla-flask-crb,0,2,3,CSS
browserid-verifier,2,11,2,JavaScript
legal-docs,10,62,14,null
marketplace-ctf,0,0,0,HTML
badgekit-api,26,35,37,JavaScript
openbadges-discovery,19,3,48,JavaScript
energia,4,3,0,JavaScript
hotdish,109,8,120,JavaScript
webmaker-download-locales,2,5,4,JavaScript
webmaker-locales-mapping-configuration,2,3,0,JavaScript
csp-logger,9,4,2,JavaScript
galaxy-api,9,14,92,JavaScript
language-mapping-list,11,4,0,JavaScript
tardy,1,2,2,Python
video_codec_module,1,0,0,C++
treeherder-client-deprecated,3,5,0,null
badgekit-api-client,4,5,5,JavaScript
security-process-docs,3,0,0,null
mozjpeg,1836,170,57,C
events.webmaker.org,8,23,12,JavaScript
webmaker-events-service,2,11,4,JavaScript
mortar-devtools,2,4,3,JavaScript
apk-signer,4,6,0,Python
grunt-i18n-abide,10,4,5,JavaScript
transonic,2,10,1,CSS
fxoss,7,9,6,JavaScript
webmaker-auth-client,1,9,4,JavaScript
makerstrap,19,21,17,HTML
user-advocacy,2,3,3,Python
spartacus,11,33,2,JavaScript
webmaker-kits,3,4,3,CSS
webmaker-analytics,1,4,0,JavaScript
nav-global,1,4,0,CSS
mozmonument-sf,0,0,4,null
olympia,65,124,66,Python
node-rtltr,0,1,0,JavaScript
fxa-profile-server,7,9,8,JavaScript
webrtc-standalone,31,8,0,C++
mortar-privileged-remote-app,2,2,2,JavaScript
mortar-template-template,0,1,0,JavaScript
MakeAPI-Gallery,1,3,4,JavaScript
webmaker-auth,1,7,4,JavaScript
fxa-oauth-server,23,17,16,JavaScript
webmaker-kits-builder,1,7,10,JavaScript
school-of-webmaking,5,13,23,JavaScript
webmaker-tests,8,16,0,null
moz-dev-contrib,4,1,0,null
marketplace-docs,1,9,1,Makefile
marketplace-operator-dashboard,2,6,0,JavaScript
gitribution,17,3,0,JavaScript
releng-jacuzzis,0,7,0,ApacheConf
fxa-content-server-l10n,5,17,1,Shell
treeherder-node,1,5,2,JavaScript
webmaker-whitepaper,0,5,0,CSS
rbbz,6,4,0,Python
webmaker-login-example,1,1,0,JavaScript
webmaker-language-picker,0,10,2,JavaScript
fxpay,17,10,9,JavaScript
webtools-bmo-bugzilla,12,12,0,Perl
webtools-bmo-qa,0,0,0,Perl
recroom,291,16,15,JavaScript
fxa-python-client,4,3,2,Python
mrburns,10,13,2,CSS
aggredash,0,2,0,JavaScript
web-literacy-client,1,3,0,JavaScript
localForage-backbone,58,10,2,JavaScript
loop-client,2,6,0,JavaScript
node-vtt,2,3,2,JavaScript
smithers,1,2,0,Python
cheesecake,1,2,0,Puppet
b2ghaystack,1,2,1,Python
recroom-docs,1,1,0,null
crontabber,115,11,14,Python
transibution,0,0,0,JavaScript
lumberyard,3,7,2,JavaScript
sawmill,2,10,3,JavaScript
badgekit-backpack,0,0,9,JavaScript
adhoctribution,6,6,2,JavaScript
build-relengapi,9,21,67,Python
makerparty,5,16,1,JavaScript
darjeeling,3,12,1,JavaScript
bucheron,0,3,0,JavaScript
webmaker-profile-2,7,23,6,JavaScript
park-warden,1,5,0,JavaScript
generator-recroom,2,3,6,JavaScript
ember-localforage,1,1,1,null
automation-fuzz-tools,0,0,0,null
fxa-auth-db-server,4,9,3,JavaScript
mortar-appinstall,0,1,0,JavaScript
buddyup,6,19,0,JavaScript
webmaker-translation-stats,0,2,0,JavaScript
makedrive,345,32,57,JavaScript
fxa-customs-server,2,9,3,JavaScript
community-ux,3,1,17,null
charts,10,24,1,JavaScript
ambient-boxen,0,0,1,Ruby
yogafire,7,12,0,JavaScript
acidity,4,2,17,JavaScript
hookshot,0,2,3,JavaScript
grunt-acidity,0,0,0,null
apk-cli,50,4,2,JavaScript
marketplace-constants,3,7,2,Python
Gallery-Maker,0,3,2,JavaScript
pkix-compatibility-testing,1,2,0,JavaScript
fxa-dev,7,13,6,Lua
pulseguardian,3,6,2,Python
webmaker-user-client,1,3,1,JavaScript
metrics-graphics,5461,282,61,JavaScript
webmaker-code-of-conduct,1,2,8,null
qa-mozmill-tests,5,8,0,JavaScript
betachannel,3,3,17,JavaScript
nimble.webmaker.org,8,11,12,JavaScript
bloodflow,0,0,6,null
ascendproject,15,24,3,CSS
stooge,5,5,14,JavaScript
brick-boilerplate,1,1,1,JavaScript
2014.mozillafestival.org,4,3,0,PHP
angle,3,7,3,C++
makeapi-docs,0,2,1,CSS
webmaker-screenshot,1,1,9,JavaScript
valence,295,42,48,JavaScript
yaocho,4,1,0,JavaScript
mozbadging,2,2,25,null
django-badge-studio,0,0,0,null
gmp-api,0,3,0,C++
http_helper,0,1,1,JavaScript
fxa-auth-mailer,1,10,8,HTML
team-list,1,2,0,JavaScript
hivelearningnetworks.org,2,4,2,PHP
mobile-opportunity,2,4,43,JavaScript
libnfldap,2,2,0,Python
thunderhug,1,2,7,JavaScript
webmaker-rid,0,2,1,JavaScript
fennec-search,6,7,2,Java
badgekit-api-python-client,1,1,0,Python
moz2d,0,0,0,C++
makerparty-heatmap,0,2,0,JavaScript
mortar-privileged-empty-app,0,1,0,JavaScript
videur,31,5,8,Lua
webmaker-mailroom,1,10,8,HTML
webmaker-landing-pages,7,15,1,HTML
adbhelper,12,25,0,JavaScript
firefox-app-validator-manifest,7,6,2,JavaScript
mozilla-badges,0,2,9,Python
django-badgekit,0,1,0,Python
advocacy.mozilla.org,3,9,9,HTML
pymake,11,3,2,Python
node-janus,39,7,9,JavaScript
referral-board,1,0,0,HTML
foundation-security-advisories,3,5,0,Python
release-blog,8,4,6,CSS
build-funsize,2,8,0,null
statsd-console-backend,0,0,0,JavaScript
janus-addon,16,4,4,JavaScript
bsd-forms-and-wrappers,2,6,1,HTML
chromecast,0,0,0,null
pluotsorbet,181,36,298,Java
cerberus,3,4,0,Python
spicedham,1,1,1,Python
fireplay-sublime,33,6,16,Python
fxa-auth-db-mem,0,6,0,JavaScript
node-firefox,273,12,20,JavaScript
firefox-app-validator-icons,0,1,0,JavaScript
DropItLike,68,8,0,null
build-fwunit,28,5,4,CSS
marketplace-env,7,17,4,Shell
webmaker-android,121,104,3,Java
contacts-sync-prototype,6,2,4,JavaScript
discoplace,0,5,0,JavaScript
telemetry-js-node,0,0,0,JavaScript
contribute.json,17,17,7,CSS
telemetry-tools,0,0,1,Python
telemetry-collector,0,1,0,JavaScript
galaxy.js,9,2,22,JavaScript
seasponge,127,22,24,CoffeeScript
webmaker-personas,1,4,7,JavaScript
qmo-design,1,3,0,CSS
masche,371,37,4,Go
telemetry-dashboard-prototype,1,0,0,JavaScript
webmaker-app-cordova,2,10,3,JavaScript
iacomus,2,3,0,JavaScript
mofo-campaignurl,0,1,0,JavaScript
oldpto,1,6,0,JavaScript
theopenstandard,10,8,0,PHP
filer-redis,2,1,0,null
migfw,3,2,3,C++
mysql-patcher,1,3,1,JavaScript
webmakerprototypes.org,1,3,0,null
firefox-app-validator-central,1,2,1,JavaScript
filer-mysql,0,1,0,null
medusa,6,3,1,Clojure
build-runner,3,4,5,Python
galaxy-api-python-client,0,1,0,Python
build-proxxy,2,0,0,Python
mortar-tabs-component,0,0,3,JavaScript
webmaker-login-ux,3,18,42,HTML
